Freq/Press,94,100,106,112,118,124,127,130,132,
16,330,,,,,,,,,
20,330,,,,,,,,,
35,330,,,,,,,,,
75,330,,,,,,,,,
80,330,,,,,,,,,
300,330,,,,,,,,,
900,6040,,,,,,,,,
1000,6040,6040,330,330,330,330,330,330,0,
1100,6040,,,,,,,,,
3000,330,,,,,,,,,
8000,330,,,,,,,,,
10000,0,,,,,,,,,
