Site/Freq,16.5,20,35,75,80,300,900,1000,1100,3000,8000,10000
1,-155.427,-159.268,-167.774,-175.022,-175.684,178.015,171.141,169.392,163.878,11.161,6.647,-35.745
2,-154.692,-158.483,-167.329,-174.909,-175.600,177.861,171.142,169.580,164.291,11.184,0.121,-43.295
3,-154.369,-157.983,-166.949,-174.614,-175.317,177.924,170.574,168.836,163.388,12.059,-4.233,-36.834
4,-155.824,-159.488,-168.030,-175.351,-176.018,177.640,170.906,169.357,164.099,13.254,1.005,-31.166
5,-155.017,-158.746,-167.496,-175.055,-175.743,177.668,170.349,168.599,163.300,10.679,-1.248,-39.054
6,-156.923,-160.086,-168.283,-175.359,-176.033,177.774,170.753,169.020,163.476,10.963,-11.394,-37.034
7,-155.252,-158.986,-167.740,-175.168,-175.872,177.651,170.380,168.617,162.897,10.163,-8.285,-34.674
8,-154.794,-158.638,-167.483,-175.050,-175.725,177.808,170.802,169.160,163.743,10.152,-8.342,-36.790
9,-152.058,-156.224,-165.936,-174.231,-174.987,177.921,170.772,169.200,163.669,11.396,-4.962,-32.060
10,-153.916,-157.560,-166.629,-174.391,-175.097,178.306,171.317,169.441,163.753,11.387,0.642,-28.332
11,-154.501,-158.451,-167.400,-174.954,-175.655,177.853,170.617,168.881,163.195,10.094,-5.021,-39.479
12,-155.559,-159.257,-167.774,-175.162,-175.848,177.708,170.303,168.646,163.018,10.194,-6.968,-37.414
13,-154.772,-158.602,-167.451,-175.055,-175.764,177.727,170.808,169.336,163.923,9.679,-9.182,-36.614
14,-156.066,-159.624,-167.922,-175.116,-175.784,177.940,170.922,169.179,163.513,11.275,-3.586,-23.722
15,-155.016,-158.668,-167.411,-174.937,-175.611,177.827,170.729,168.990,163.582,10.720,-5.243,-32.139
16,-153.954,-157.803,-166.970,-174.770,-175.464,177.850,171.060,169.472,163.903,10.377,-14.563,-38.354
17,-155.215,-158.843,-167.427,-174.942,-175.654,177.847,170.830,169.327,164.101,10.234,-11.002,-32.159
18,-155.907,-159.510,-168.080,-175.481,-176.145,177.492,170.225,168.622,163.227,9.789,-9.322,-45.382
19,-155.139,-158.801,-167.592,-174.998,-175.698,177.834,170.169,168.554,163.344,10.670,-9.412,-38.883
20,-156.189,-159.844,-168.233,-175.475,-176.145,177.506,170.008,168.106,162.409,10.697,-12.320,-30.656
21,-154.919,-158.615,-167.467,-175.015,-175.725,177.861,171.191,169.685,164.364,11.818,-9.546,-31.977
22,-153.185,-157.071,-166.375,-174.280,-175.019,178.188,171.022,169.319,163.780,10.714,-11.691,-42.214
23,-153.937,-157.875,-166.899,-174.497,-175.193,178.229,170.955,169.320,163.932,11.213,0.499,-37.980
24,-155.393,-158.954,-167.670,-175.103,-175.784,177.853,170.457,168.757,163.411,10.839,-16.258,-34.412
25,-154.635,-158.449,-167.398,-175.033,-175.757,177.526,170.256,168.545,163.105,12.759,-10.456,-32.583
26,-156.740,-160.199,-168.356,-175.363,-176.028,177.790,170.497,168.796,163.557,11.291,-10.804,-32.131
27,-155.402,-159.186,-167.735,-175.097,-175.786,177.807,170.424,168.573,163.015,11.741,-3.602,-31.947
28,-155.511,-159.040,-167.642,-174.977,-175.663,177.977,171.306,169.873,164.676,10.498,-9.829,-37.934
29,-155.245,-158.914,-167.616,-175.066,-175.770,177.785,170.491,168.853,163.240,11.659,-7.220,-34.467
30,-155.673,-159.105,-167.910,-175.303,-175.985,177.675,170.531,168.785,163.364,11.560,-14.179,-39.009
31,-157.230,-160.700,-168.740,-175.704,-176.337,177.545,170.614,168.805,163.178,11.109,-3.008,-33.216
32,-154.545,-158.311,-167.082,-174.724,-175.448,177.950,170.957,169.280,163.886,10.822,0.441,-40.769
33,-155.562,-159.204,-167.785,-175.210,-175.883,177.470,170.097,168.285,162.547,10.659,-1.869,-31.188
34,-152.738,-156.769,-166.159,-174.234,-174.947,178.079,170.506,168.561,162.981,12.045,-5.763,-30.320
35,-155.689,-159.319,-167.744,-175.171,-175.894,177.657,170.578,168.795,163.271,11.045,-1.705,-35.944
